,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
as1,129.2689962,124.0469491,121.8239829,105.8039557,116.1876891,116.0053873,132.7602664,132.6794026,141.8382942,164.9116356,180.7229632,196.215615,200.971811,203.5601494,196.396756,203.6261709,209.4385389,191.5552797,202.3996723,197.2379135,193.9554032,185.1845248,169.3150797,167.2330407
as2,129.2689962,124.0469491,121.8239829,105.8039557,116.1876891,116.0053873,132.8341156,132.6794026,141.8382942,165.5210558,181.3978458,196.215615,200.971811,203.5601494,196.396756,203.6261709,209.4385389,191.5552797,202.3996723,197.2379135,193.9554032,185.1845248,169.6913359,167.2330407
as3,129.2689962,124.0469491,123.4637032,105.8039557,116.8951501,116.0053873,133.4339898,132.6794026,141.8382942,165.6175679,182.0727284,196.215615,200.971811,204.0504764,196.396756,203.6261709,209.4385389,191.5552797,203.3068339,197.2379135,193.9554032,185.8358234,170.0675921,167.2330407
as4,129.2689962,124.0469491,123.9286654,105.8039557,117.8357837,116.0053873,134.033864,132.6794026,141.8382942,165.6175679,182.0727284,196.215615,200.971811,204.5408034,196.396756,203.6261709,211.5750593,191.5552797,204.4058102,198.0495608,193.9554032,186.4871221,170.8090194,168.3025302
as5,129.2689962,125.6510611,123.9286654,105.8039557,118.6321585,116.0053873,135.0031384,132.6794026,141.8382942,165.6175679,182.0727284,196.215615,202.3573167,206.3846992,196.396756,205.4694831,212.0139682,191.5552797,205.0422109,199.5041399,195.6293965,186.4871221,171.8607536,169.7230778
as6,129.2689962,127.2551731,123.9286654,105.8039557,119.3178382,116.0053873,135.9724128,132.6794026,141.8382942,166.8692551,182.0727284,198.1819468,203.7428224,206.5248902,196.396756,207.3127953,212.0139682,191.5552797,205.7567363,200.1470717,197.3033898,186.4871221,172.205866,170.3258909
as7,129.2689962,127.2551731,125.4238062,105.8039557,119.4403156,116.0053873,135.9724128,134.7926294,141.8382942,168.3834124,184.1053576,200.1482786,204.8358888,206.5248902,196.396756,207.3127953,212.0139682,191.5552797,206.0266756,200.1470717,197.3033898,188.3226544,172.205866,171.2592232
as8,129.2689962,129.3745956,127.3020138,105.8039557,120.2591793,116.0053873,136.7352444,136.9058562,141.8382942,168.6458825,186.1379868,200.8335345,205.1111625,208.7539692,196.396756,207.3127953,212.0139682,191.5552797,207.0462401,201.1594206,197.3033898,190.1581868,172.205866,171.9408004
as9,132.1396604,129.9364428,127.889405,105.8039557,121.0780429,116.0053873,138.3261586,137.648632,141.8382942,169.8341523,187.3353464,201.6991499,206.6217418,209.0391593,196.396756,207.3127953,214.0197185,191.5552797,208.0658046,202.1717695,198.6197218,190.9132377,172.205866,172.6754176
as10,135.0103246,130.0759634,128.5667041,105.8039557,121.0780429,116.0053873,138.4734241,138.5990846,145.0704315,170.70052,187.8705199,201.8795095,207.0671179,209.0391593,196.396756,207.3127953,216.0254688,191.5552797,208.667419,203.2403375,200.5861794,191.6682887,173.6410951,173.6448045
as11,135.6357885,131.8305566,129.039679,105.8039557,122.2075532,116.0053873,139.173744,139.2577152,148.5341212,171.2101411,188.6571037,202.5629902,207.7206964,209.8266423,196.396756,207.3127953,216.0254688,191.5552797,209.2690333,203.9169134,200.8429017,191.6682887,175.6338811,174.2864198
as12,136.886147,131.900919,130.3381737,105.8039557,124.0880713,116.0053873,139.8740639,139.708669,148.7656737,171.7901896,189.1277582,203.246471,208.3102047,211.4702809,196.396756,207.3127953,216.7985157,201.1615452,209.2690333,204.1294127,200.8429017,192.9165663,176.191438,175.2941412
as13,137.8259227,131.900919,130.7947157,110.3004023,124.2269337,120.3660865,140.4194773,139.708669,149.6025578,172.6405827,189.8345823,204.8419698,208.9303689,211.6864787,196.396756,207.3127953,217.5715626,201.38177,211.4821056,204.6996838,201.7973263,194.8571582,176.191438,176.7629849
as14,138.4282456,131.900919,131.7924095,114.7968489,125.3735612,124.7267858,141.6243959,139.708669,150.6680297,173.2076539,191.070577,205.5881458,208.9677701,212.4560429,196.396756,211.1689416,219.1262143,202.172191,212.1731636,205.5956061,203.1570879,195.5494725,176.970756,177.0719295
as15,139.2267685,133.3609102,132.1675382,114.7968489,126.4404752,124.7267858,142.1207198,142.3412376,150.8966176,174.1242419,191.5997475,206.091573,210.4267257,213.7876731,202.1535439,215.0250879,219.9202986,203.4476889,212.5734561,206.6454391,203.7740277,196.7075511,178.6740186,178.0191261
as16,139.7274206,135.4798821,132.4007798,116.1239964,127.0313006,124.7267858,142.7274566,142.970113,152.1052773,174.6114401,192.7535819,207.2223759,211.0086723,214.6873255,207.9103319,215.0250879,220.4171944,203.9327658,213.6005729,207.134841,204.3837732,197.1261664,179.4390393,178.0704818
as17,140.1818,136.3846372,133.3372815,117.504002,127.4153867,124.7267858,143.6609162,143.743714,152.9432661,175.591215,193.2440165,207.6788416,212.1496065,215.429505,207.9103319,216.2083441,221.5454368,205.1652466,213.6452146,207.7521311,205.2916954,197.8493141,179.5937869,179.023542
as18,140.6361794,137.3959284,134.8397964,117.5568599,128.4102086,128.2896338,144.3673006,144.6367934,153.5542792,175.989009,193.4238566,208.2388079,212.5730106,216.3566464,207.9103319,217.8005021,221.6479204,205.6144124,214.2146256,208.3210521,205.967091,199.5328837,180.4359892,180.4744027
as19,142.1073746,138.1077309,135.0618019,117.5568599,128.9720997,128.4685959,145.1132981,145.110361,154.3489107,176.6500446,193.4238566,208.9672733,213.1484255,216.8380751,207.9103319,218.2094041,222.5974058,205.6144124,215.3378498,209.2751672,206.8257997,200.1359978,181.2103827,181.3596864
as20,142.9175923,138.8822344,136.2810778,117.5568599,129.8215328,128.4685959,145.9206562,146.0151294,154.9482179,177.2963262,196.2193263,209.6191539,213.7258137,217.6587754,210.2088007,219.4088772,223.9309062,205.6144124,216.534402,209.9388487,207.4250992,201.0684312,181.8610926,181.9305428
as21,143.2946379,139.3228747,137.0586464,119.0962575,130.729748,129.6516878,146.4943635,146.3430072,155.7078053,177.912233,196.9115019,210.3092136,215.0969889,218.3311499,212.7139146,220.6083502,224.4668635,207.4427321,217.3773948,210.4397945,208.616159,201.9410523,182.5344391,183.1440558
as22,144.437656,140.1388492,137.5623802,121.4317809,131.1485573,131.0445409,147.1917664,147.3306889,156.4248565,178.4149267,197.4434033,211.3180611,215.5301757,219.2836208,213.2253295,221.0942538,225.3760848,209.6092106,218.0243857,211.2080811,208.9047179,202.4880048,182.8184277,183.7305514
as23,145.3394039,140.9855174,137.6192719,121.8912866,132.0900684,132.051839,147.927399,148.0006424,157.3211744,179.1939587,198.3517396,211.9509562,216.3030005,219.8649871,214.9193066,222.1818495,226.1043203,209.9473693,218.7324694,212.0215352,209.6797284,203.4690456,183.7999333,184.3244678
as24,145.587285,142.1596989,139.3591791,122.7222776,132.8275432,132.6319492,148.583367,148.8515756,158.105034,179.9707003,199.4472413,212.6615916,217.0258924,221.036681,215.4011061,223.5261742,226.8128488,211.3348076,219.3027669,212.6160522,210.2468044,204.3109567,184.3822688,185.3242118
as25,147.029234,142.552344,139.8877963,123.4678646,133.382063,133.3697711,149.2646745,149.5854627,158.5026747,180.6524017,200.1317917,213.2519393,217.7783478,221.4779562,215.9189662,224.158651,227.5179524,212.4643009,220.0099707,213.0894003,210.9687926,204.984469,184.8930943,186.1812293
as26,147.4736075,143.6438502,140.7616364,124.2882681,134.2413846,133.9443407,149.9448662,150.3806212,159.4536416,181.2327151,200.5526035,214.0861811,218.3569211,222.2162521,217.3316961,224.7425741,228.4021254,213.3088971,220.8838749,213.8835786,211.9254335,205.9096919,185.4807455,186.6787202
as27,148.0605874,144.4515,141.7828423,125.1485564,135.2118164,134.9895981,150.4577945,150.6546902,160.1867801,182.0013318,201.8687601,214.8755795,218.9198532,223.1393321,217.9016024,225.1478911,229.1448483,213.6704119,221.5193578,214.5701067,212.5402575,206.8774946,186.1706243,187.6273954
as28,148.8022661,144.7559154,142.5394401,125.3682406,135.9457373,135.6451799,151.2509489,151.6652309,160.750222,182.5651264,202.3443091,215.5022219,219.6129746,223.7849115,218.6022615,226.8442118,229.9206036,214.2471133,222.3797707,215.2923807,213.5009908,207.7701079,186.7958028,188.3896441
as29,149.8929391,145.8489218,143.1164886,126.8627709,136.541953,135.9133824,151.9568556,152.2948328,161.6967138,183.4653854,203.2427262,216.1679136,220.5029393,224.6721547,219.0385556,228.0172915,230.468239,215.7708997,222.985991,215.9217976,214.2167668,208.8016007,187.6217371,188.8582985
as30,150.4727234,146.5700302,143.8685986,127.4860364,137.2327951,136.5127161,152.6479697,152.8984623,162.3529083,183.9781386,204.1014513,217.1554761,221.1697799,225.1770369,220.5039846,228.6909916,231.2954401,217.0177122,223.8341492,216.8569803,214.7389936,209.4473219,188.3952183,190.0076258
as31,150.8426043,147.3880906,144.5351771,128.0523607,137.9367432,137.6827483,153.1545134,154.0221896,162.9242784,184.4834111,204.8834999,217.7735622,221.8105179,226.0630188,221.0911099,229.5872718,231.9979701,217.6581472,224.4822436,217.589862,215.3393398,210.2785046,188.8323165,190.7545134
as32,152.0811934,148.3004209,145.2203663,129.3405278,138.8860231,138.2118095,154.0033958,154.5528954,163.4756246,185.333016,205.9091973,218.489887,222.2804864,226.8469671,221.8674372,230.4097398,233.0415376,218.7070885,225.3962821,217.9846458,216.306339,211.1561817,189.6418806,191.590366
as33,152.5335652,148.8434736,146.2080613,129.7711422,139.6515851,138.8506799,154.6508678,155.2439901,164.4826954,185.9878372,206.2292711,218.8601609,223.2943814,227.8454673,223.056384,231.567212,233.5366416,219.5473297,226.0291276,218.6353238,217.1651608,212.1235112,190.2290214,192.3130691
as34,153.4035689,149.6767719,147.0405793,130.5933909,140.3472719,139.5082873,155.6330238,155.9904169,165.1163905,186.5143749,207.1334947,219.7392527,223.8761016,228.3967331,223.6404652,232.317422,234.2484372,220.23222,226.9473129,219.3418291,217.828618,212.9408115,191.1849784,193.4975656
as35,154.0654249,150.482248,147.5054241,131.0298656,140.8060832,140.5828826,156.1144037,156.5603386,166.0738293,187.3514249,207.9985811,220.4011251,224.6131575,229.3665049,224.8646105,233.0923355,235.3233409,221.0044865,227.6619785,220.0407338,218.2302118,213.6799051,191.4644984,193.9133732
as36,154.6116008,151.288281,148.165029,131.8921051,141.7774506,141.4572897,156.9669503,157.4606337,166.4958625,187.9782683,208.7783038,221.1688767,225.2992282,230.043996,225.4435683,234.002448,235.8427514,221.8407608,228.4348865,220.9128579,219.024307,214.4633812,192.2451366,194.7964172
as37,155.5131847,151.876376,149.260071,132.6207835,142.4922495,142.5905105,157.7254805,158.0253259,167.2142496,188.4413159,209.5797755,221.8391466,226.0742897,230.7316051,226.1688596,234.8495265,236.6626288,222.7342872,229.0712956,221.5226088,219.7370758,215.3877764,192.9617583,195.4523944
as38,156.2662074,152.7741061,149.8394645,133.5019661,143.2396649,143.1046652,158.3840709,158.5754991,168.1124273,189.2795269,210.3573421,222.5552017,226.8509573,231.4766832,226.9940251,235.7650352,237.2743342,223.7939739,229.8687695,222.2536675,220.4337956,215.9922086,193.6540173,196.3628112
as39,157.1428725,153.737063,150.7493183,134.4140745,143.9875766,143.4401663,158.8822983,159.4415816,168.5314479,190.027098,211.1786742,223.2371078,227.5113908,232.3752658,227.8053048,236.8163078,238.2894206,224.8824087,230.4676042,222.7904281,221.2597378,217.0775824,194.0900545,197.2050743
as40,157.7054295,154.566072,151.3963074,134.8612521,144.7949063,144.4352977,159.6327544,160.1518772,169.3877809,190.7603895,211.9685394,224.0598832,228.0814579,232.9714604,228.7570164,237.5149882,238.729078,225.5463107,231.2369564,223.3257772,222.0240991,217.8113002,194.8201492,197.940217
as41,158.446018,155.1740034,151.9180849,135.8349313,145.4243871,145.2284843,160.3582314,160.9327694,170.0735447,191.2323902,212.8570918,224.7845446,229.0689295,233.7322341,229.6272938,238.3445332,239.9623946,226.3581482,231.9736499,224.1159256,222.5977625,218.5569697,195.5520228,198.531228
as42,159.3038261,155.904258,152.8300512,136.2010935,146.2786257,145.9221226,160.8873119,161.3689554,170.9373208,191.9138291,213.5581436,225.5804687,229.4849415,234.7650064,230.4184032,239.2541856,240.338155,227.1552078,232.8426913,224.9097164,223.4106122,219.5815188,196.2557902,199.5686069
as43,159.9733054,156.5779263,153.7215229,136.9200956,146.906427,146.9384932,161.5380554,162.1399901,171.5381794,192.6655786,214.3408798,226.3284688,230.3803337,235.3135601,231.3550113,240.3367312,241.2805237,228.145067,233.4184663,225.6369398,224.0798045,220.4106717,196.6936233,200.3509521
as44,160.7685207,157.361926,154.5837037,138.0300776,147.6034689,147.354514,162.2526614,162.9623027,172.2739323,193.2337185,215.0916506,226.9902275,230.9398785,236.1540919,232.0177538,241.073837,241.8527121,228.8842586,234.320021,226.3657928,224.7696192,221.208625,197.4936122,201.184467
as45,161.442497,158.0636404,155.2223677,138.711414,148.2766371,148.1672185,163.1497115,163.7462442,173.0583865,193.9461155,216.0924531,227.683456,231.7504745,236.9089595,232.7576079,241.8286843,242.5626262,230.0398361,234.8377147,226.9484047,225.4495579,222.0993088,198.2541799,202.0023199
as46,162.0135851,158.867576,155.8618981,139.5231026,149.1505557,148.8225449,163.7013433,164.1938929,173.6831129,194.4377294,216.8006782,228.4871236,232.3823521,237.5669641,233.6820551,242.8236494,243.3921359,230.7298099,235.789751,227.4899995,226.2142994,222.9137003,198.7052614,202.7254526
as47,162.856442,159.6004341,156.797914,140.4001721,149.9508877,149.4693599,164.4341715,165.0342457,174.4129377,195.3312038,217.7146095,229.0790324,233.0867412,238.4171771,234.5494923,243.5299841,244.186536,231.5049477,236.4676009,228.2351729,226.9419235,223.7372021,199.4518046,203.5531023
as48,163.6135658,160.4721106,157.3226403,140.9626025,150.7090163,150.3037082,165.1683697,165.8123787,175.0274837,195.773769,218.3542936,229.8393655,233.9003591,239.1090283,235.4285125,244.4532445,244.9316719,232.593368,237.0491279,229.0132279,227.7977128,224.4276577,199.9735602,204.3819235
as49,164.2431623,161.1880123,158.0840737,141.4619499,151.2749833,151.2683492,165.8484262,166.4339933,175.8202459,196.4861801,219.0498047,230.6122543,234.5540689,239.9372595,236.3482465,245.3263594,245.7175366,233.2326257,237.9379995,229.7144568,228.3239348,225.2624521,200.6269063,205.1401123
as50,165.1125214,161.9576176,159.0027543,142.2319087,152.0561579,151.9745076,166.3713058,167.1496968,176.5370391,197.3839417,220.0966209,231.1351394,235.1042443,240.5101183,237.0526041,246.1603342,246.4662899,234.212349,238.4133768,230.4332916,228.9490668,226.2071911,201.4425146,206.0218464
as51,165.7907691,162.8977551,159.7251485,142.9681477,152.8505234,152.6285367,166.9998774,167.8757125,177.2375834,197.7110131,220.8316372,231.7825896,235.7877426,241.4424386,237.8171737,247.2900982,247.0499291,235.3359785,239.3774694,231.1233602,229.6929863,227.1423051,202.0393604,206.6637153
as52,166.4441156,163.4610327,160.4584515,143.6741332,153.5632988,153.5777488,167.9677566,168.5379066,177.9216314,198.6035673,221.5539729,232.6621863,236.6457865,242.2639888,238.6968239,248.2345127,247.9526562,236.0140127,240.1572994,231.7674332,230.4993298,227.834384,202.7562821,207.4829314
as53,167.0971168,164.3853247,161.0783931,144.6525683,154.301646,154.2200796,168.4780964,169.3321476,178.6273079,199.1925517,222.468557,233.2830844,237.3936836,243.0725585,239.5207551,248.8636868,248.7150663,236.9027832,240.7612924,232.3846821,231.1244154,228.8381179,203.3302382,208.2670004
as54,167.9099265,165.0569492,161.9112564,145.2719572,155.0738679,154.9555722,169.094842,170.0145704,179.3690732,199.8448854,223.2658187,233.9979038,237.9817304,243.7513683,240.3782336,249.9196591,249.6101315,237.7581718,241.5088452,233.0427373,232.018611,229.4764231,203.9952651,208.9898341
as55,168.7506776,165.8263391,162.5949665,146.2081483,155.8515351,155.3044371,169.8497903,170.7303837,180.1674568,200.574004,224.0899109,234.7010738,238.8508764,244.371731,241.2605215,250.6988332,250.3392041,238.5785164,242.2050958,233.7302952,232.6944635,230.313673,204.6010656,209.9932751
as56,169.4115887,166.6004455,163.3979412,146.78662,156.5340667,156.2816362,170.4441915,171.3761571,180.6656371,201.2695942,224.7366433,235.3681826,239.3032648,245.2193142,241.9532093,251.6529762,250.902321,239.3639528,243.005759,234.3300155,233.5001943,231.174529,205.1822218,210.7201929
as57,170.1126549,167.3210309,164.1271647,147.5536196,157.4562776,157.0949528,171.1844523,171.9801689,181.4111474,201.8992618,225.6663199,236.3789567,240.0467498,245.9853262,242.9144173,252.4119124,251.7028826,240.283967,243.7786983,235.0225945,234.1729531,232.1071571,205.8638158,211.5001447
as58,170.860029,168.1302531,164.8575285,148.2302537,157.9618886,157.7485395,171.8438466,172.7593205,182.242547,202.5346404,226.4158215,236.956024,240.8622532,246.8546037,243.6711721,253.3271584,252.4587085,241.1081163,244.3968246,235.6425286,234.7012989,232.8406211,206.4256793,212.3185506
as59,171.5298006,169.0965818,165.774394,149.0003565,158.879361,158.5468032,172.5780472,173.6501708,182.9489233,203.216506,227.1426716,237.6771233,241.5548308,247.3394642,244.3669348,254.3000483,253.312066,241.8450763,245.1845033,236.3799797,235.5104762,233.7029067,207.2879517,213.0826511
